BillID,KnessetNum,Name,PublicationDate,MagazineNumber,PageNumber,budget_publication
148790,8,"חוק התקציב (מס' 3) לשנת הכספים 1973, התשל""ד-1974",1974-04-05 00:00:00,62,370,1
148789,8,"חוק תקציב הביניים לשנת הכספים 1974, התשל""ד-1974",1974-04-05 00:00:00,62,373,1
148794,8,"חוק התקציב לשנת הכספים 1974, התשל""ד-1974",1974-08-25 00:00:00,63,3,1
148788,8,"חוק התקציב (מס' 2), לשנת הכספים 1974, התשל""ה-1975",1975-02-26 00:00:00,64,368,1
148787,8,"חוק תקציב הביניים לשנת הכספים 1975, התשל""ה-1975",1975-03-30 00:00:00,65,2,1
148786,8,"חוק התקציב לשנת הכספים 1975, התשל""ה-1975",1975-08-27 00:00:00,66,5,1
148785,8,"חוק התקציב (מס' 2) לשנת הכספים 1975, התשל""ו-1976",1976-04-06 00:00:00,67,3,1
148784,8,"חוק תקציב הביניים לשנת הכספים 1976, התשל""ו-1976",1976-04-08 00:00:00,68,22,1
148783,8,"חוק התקציב לשנת הכספים 1976, התשל""ו-1976",1976-08-09 00:00:00,69,3,1
148780,8,"חוק התקציב לתקופת המעבר אפריל-יולי 1977, התשל""ז-1977",1977-03-31 00:00:00,70,2,1
148781,9,"חוק התקציב לתקופת המעבר אפריל-יולי 1977 (תיקון), התשל""ז-1977",1977-07-28 00:00:00,71,10,1
148779,9,"חוק התקציב לשנת הכספים 1977, התשל""ח-1977",1977-10-10 00:00:00,72,3,1
148782,9,"חוק התקציב (מס' 2), לשנת הכספים 1977, התשל""ח-1978",1978-04-06 00:00:00,73,2,1
148778,9,"חוק התקציב לשנת הכספים 1978, התשל""ח-1978",1978-05-25 00:00:00,74,3,1
148777,9,"חוק התקציב (מס' 2) לשנת הכספים 1978, התשל""ט-1978",1979-01-29 00:00:00,75,2,1
148775,9,"חוק תקציב הביניים לשנת הכספים 1979, התשל""ט-1979",1979-04-06 00:00:00,76,10,1
148774,9,"חוק התקציב לשנת הכספים 1979, התשל""ט-1979",1979-08-26 00:00:00,77,3,1
148776,9,"חוק התקציב (מס' 2) לשנת הכספים 1979, התש""ם-1980",1980-02-03 00:00:00,78,3,1
148772,9,"חוק התקציב לשנת הכספים 1980, התש""ם-1980",1980-06-20 00:00:00,79,3,1
148773,9,"חוק התקציב (מס' 2), לשנת הכספים 1980, התשמ""א-1980",1980-11-20 00:00:00,80,2,1
148768,9,"חוק התקציב (מס' 3) לשנת הכספים 1980, התשמ""א-1981",1981-02-26 00:00:00,81,10,1
148771,9,"חוק התקציב לשנת הכספים 1981, התשמ""א-1981",1981-06-15 00:00:00,82,3,1
148770,10,"חוק תקציב הביניים לשנת הכספים 1982, התשמ""ב-1982",1982-04-07 00:00:00,84,4,1
148769,10,"חוק התקציב (מס' 2) לשנת הכספים 1981, התשמ""ב-1982",1982-04-07 00:00:00,85,7,1
148766,10,"חוק התקציב לשנת הכספים 1982, התשמ""ב-1982",1982-09-15 00:00:00,87,2,1
148767,10,"חוק התקציב (מס' 2), לשנת הכספים 1982, התשמ""ג-1982",1982-12-26 00:00:00,88,1,1
148765,10,"חוק התקציב לשנת הכספים 1983, התשמ""ג-1983",1983-06-15 00:00:00,89,5,1
150912,11,"חוק התקציב (מס' 2) לשנת הכספים 1984, התשמ""ה-1985",1985-03-08 00:00:00,94,6,1
150911,11,"חוק התקציב לשנת הכספים 1985, התשמ""ה-1985",1985-06-16 00:00:00,95,23,1
151410,11,"חוק התקציב לשנת הכספים 1986, התשמ""ו-1986",1986-06-30 00:00:00,99,9,1
151471,11,"חוק התקציב (מס' 2), לשנת הכספים 1986, התשמ""ז-1987",1987-04-01 00:00:00,101,246,1
151590,11,"חוק התקציב לשנת הכספים 1987, התשמ""ז-1987",1987-06-30 00:00:00,102,259,1
151936,11,"חוק התקציב (מס' 2) לשנת הכספים 1987, התשמ""ח-1988",1988-03-24 00:00:00,104,460,1
151909,11,"חוק התקציב לשנת הכספים 1988, התשמ""ח-1988",1988-06-20 00:00:00,105,509,1
152464,12,"חוק התקציב (מס' 2) לשנת הכספים 1988, התשמ""ט-1989",1989-03-28 00:00:00,106,2,1
152493,12,"חוק התקציב לשנת הכספים 1989 (תיקון), התשמ""ט-1989",1989-04-19 00:00:00,107,8,1
152318,12,"חוק התקציב לשנת הכספים 1989, התשמ""ט-1989",1989-06-01 00:00:00,108,17,1
152772,12,"חוק התקציב (מס' 2) לשנת הכספים 1989, התש""ן-1990",1990-01-17 00:00:00,109,2,1
152821,12,"חוק התקציב לשנת הכספים 1990, התש""ן-1990",1990-06-01 00:00:00,110,11,1
153113,12,"חוק התקציב (מס' 2) לשנת הכספים 1990, התש""ן-1990",1990-10-23 00:00:00,111,3,1
153295,12,"חוק התקציב (מס' 3) לשנת הכספים 1990, התשנ""א-1991",1991-02-21 00:00:00,113,61,1
174407,12,"חוק התקציב לשנת הכספים 1991, התשנ""א-1991",1991-06-02 00:00:00,114,173,1
153723,12,"חוק התקציב לשנת הכספים 1992, התשנ""ב-1992",1992-04-01 00:00:00,116,5,1
417273,13,"חוק התקציב לשנת הכספים 1993, התשנ""ג-1992",1993-03-01 00:00:00,118,3,1
417477,13,"חוק התקציב לשנת הכספים 1994, התשנ""ד-1994",1994-03-24 00:00:00,120,5,1
156924,13,"חוק התקציב (מס' 2) לשנת הכספים 1994, התשנ""ה-1994",1994-11-25 00:00:00,121,2,1
