bill_id,knesset_num,sub_type,status,ancestor_first_plenum_discussion,presented_to_plenum,merged_first_call,from_presented_to_first_call,from_presented_to_first_call_without_pagra,merged_last_call,from_last_call_to_first_relevant_committee_discussion,from_last_call_to_first_relevant_committee_discussion_without_pagra,from_first_relevant_committee_discussions_to_last,from_first_relevant_committee_discussions_to_last_without_pagra,from_presented_to_plenum_to_publication,from_presented_to_plenum_to_publication_without_pagra,from_first_plenum_discussion_to_publication,from_first_plenum_discussion_to_publication_without_pagra,publication_date,dates_comments
150199,1,ממשלתית,התקבלה בקריאה שלישית,1950-03-20,1950-03-20,1950-03-20,0,0,1950-03-20,,,,,128,124,128,124,1950-07-26,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
150200,1,ממשלתית,התקבלה בקריאה שלישית,1949-09-05,1949-09-05,1949-09-05,0,0,1949-09-05,,,,,10,7,10,7,1949-09-15,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
150223,1,ממשלתית,התקבלה בקריאה שלישית,1950-03-27,1950-03-27,1950-03-27,0,0,1950-03-27,,,,,135,131,135,131,1950-08-09,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
150235,1,ממשלתית,התקבלה בקריאה שלישית,1951-06-19,1951-06-19,1951-06-19,0,0,1951-06-19,,,,,9,9,9,9,1951-06-28,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
150236,1,ממשלתית,התקבלה בקריאה שלישית,1950-11-29,1950-11-29,1950-11-29,0,0,1950-11-29,,,,,57,57,57,57,1951-01-25,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
150270,1,ממשלתית,התקבלה בקריאה שלישית,1949-08-15,1949-08-15,1949-08-15,0,0,1949-08-15,,,,,18,18,18,18,1949-09-02,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
150279,1,ממשלתית,התקבלה בקריאה שלישית,1949-06-15,1949-06-15,1949-06-15,0,0,1949-06-15,,,,,16,16,16,16,1949-07-01,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
150280,1,ממשלתית,התקבלה בקריאה שלישית,1949-05-24,1949-05-24,1949-05-24,0,0,1949-05-24,,,,,3,3,3,3,1949-05-27,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
553198,1,ממשלתית,הונחה על שולחן הכנסת לקריאה ראשונה,,,,,,,,,,,,,,,,"failed to find presented to plenum, failed to find first call, failed to find last call"
553199,1,ממשלתית,הונחה על שולחן הכנסת לקריאה ראשונה,,,,,,,,,,,,,,,,"failed to find presented to plenum, failed to find first call, failed to find last call"
157662,1,ממשלתית,התקבלה בקריאה שלישית,1949-07-12,1949-07-12,1949-07-12,0,0,1949-07-12,,,,,36,36,36,36,1949-08-17,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
553192,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1949-03-18,"failed to find presented to plenum, failed to find first call, failed to find last call"
553193,1,ממשלתית,הונחה על שולחן הכנסת לקריאה ראשונה,,,,,,,,,,,,,,,,"failed to find presented to plenum, failed to find first call, failed to find last call"
