BillID,KnessetNum,Name,PublicationDate,MagazineNumber,PageNumber,budget_publication,num_pages,num_pages_comment
148796,7,"חוק תקציב הביניים לשנת הכספים 1972, התשל""ב-1972",1972-03-31 00:00:00,57,2,1,1,
148795,7,"חוק התקציב לשנת הכספים 1972, התשל""ב-1972",1972-08-10 00:00:00,58,3,1,321,
148793,7,"חוק התקציב (מס' 2) לשנת הכספים 1972, התשל""ג-1973",1973-01-12 00:00:00,59,324,1,1,"page number restarted, might be more pages"
148791,7,"חוק התקציב לשנת הכספים 1973, התשל""ג-1973",1973-05-24 00:00:00,60,3,1,365,
148792,7,"חוק התקציב (מס' 2) לשנת הכספים 1973, התשל""ד-1973",1973-10-17 00:00:00,61,368,1,2,
148790,8,"חוק התקציב (מס' 3) לשנת הכספים 1973, התשל""ד-1974",1974-04-05 00:00:00,62,370,1,3,
148789,8,"חוק תקציב הביניים לשנת הכספים 1974, התשל""ד-1974",1974-04-05 00:00:00,62,373,1,1,"page number restarted, might be more pages"
148794,8,"חוק התקציב לשנת הכספים 1974, התשל""ד-1974",1974-08-25 00:00:00,63,3,1,365,
148788,8,"חוק התקציב (מס' 2), לשנת הכספים 1974, התשל""ה-1975",1975-02-26 00:00:00,64,368,1,1,"page number restarted, might be more pages"
148787,8,"חוק תקציב הביניים לשנת הכספים 1975, התשל""ה-1975",1975-03-30 00:00:00,65,2,1,3,
148786,8,"חוק התקציב לשנת הכספים 1975, התשל""ה-1975",1975-08-27 00:00:00,66,5,1,1,"page number restarted, might be more pages"
148785,8,"חוק התקציב (מס' 2) לשנת הכספים 1975, התשל""ו-1976",1976-04-06 00:00:00,67,3,1,19,
148784,8,"חוק תקציב הביניים לשנת הכספים 1976, התשל""ו-1976",1976-04-08 00:00:00,68,22,1,1,"page number restarted, might be more pages"
148783,8,"חוק התקציב לשנת הכספים 1976, התשל""ו-1976",1976-08-09 00:00:00,69,3,1,1,"page number restarted, might be more pages"
148780,8,"חוק התקציב לתקופת המעבר אפריל-יולי 1977, התשל""ז-1977",1977-03-31 00:00:00,70,2,1,8,
148781,9,"חוק התקציב לתקופת המעבר אפריל-יולי 1977 (תיקון), התשל""ז-1977",1977-07-28 00:00:00,71,10,1,1,"page number restarted, might be more pages"
148779,9,"חוק התקציב לשנת הכספים 1977, התשל""ח-1977",1977-10-10 00:00:00,72,3,1,1,"page number restarted, might be more pages"
148782,9,"חוק התקציב (מס' 2), לשנת הכספים 1977, התשל""ח-1978",1978-04-06 00:00:00,73,2,1,1,
148778,9,"חוק התקציב לשנת הכספים 1978, התשל""ח-1978",1978-05-25 00:00:00,74,3,1,1,"page number restarted, might be more pages"
148777,9,"חוק התקציב (מס' 2) לשנת הכספים 1978, התשל""ט-1978",1979-01-29 00:00:00,75,2,1,8,
148775,9,"חוק תקציב הביניים לשנת הכספים 1979, התשל""ט-1979",1979-04-06 00:00:00,76,10,1,1,"page number restarted, might be more pages"
148774,9,"חוק התקציב לשנת הכספים 1979, התשל""ט-1979",1979-08-26 00:00:00,77,3,1,1,"page number restarted, might be more pages"
148776,9,"חוק התקציב (מס' 2) לשנת הכספים 1979, התש""ם-1980",1980-02-03 00:00:00,78,3,1,1,"page number restarted, might be more pages"
148772,9,"חוק התקציב לשנת הכספים 1980, התש""ם-1980",1980-06-20 00:00:00,79,3,1,1,"page number restarted, might be more pages"
148773,9,"חוק התקציב (מס' 2), לשנת הכספים 1980, התשמ""א-1980",1980-11-20 00:00:00,80,2,1,8,
148768,9,"חוק התקציב (מס' 3) לשנת הכספים 1980, התשמ""א-1981",1981-02-26 00:00:00,81,10,1,1,"page number restarted, might be more pages"
148771,9,"חוק התקציב לשנת הכספים 1981, התשמ""א-1981",1981-06-15 00:00:00,82,3,1,1,"missing magazine, might be more pages"
148770,10,"חוק תקציב הביניים לשנת הכספים 1982, התשמ""ב-1982",1982-04-07 00:00:00,84,4,1,3,
148769,10,"חוק התקציב (מס' 2) לשנת הכספים 1981, התשמ""ב-1982",1982-04-07 00:00:00,85,7,1,1,"missing magazine, might be more pages"
148766,10,"חוק התקציב לשנת הכספים 1982, התשמ""ב-1982",1982-09-15 00:00:00,87,2,1,1,"page number restarted, might be more pages"
148767,10,"חוק התקציב (מס' 2), לשנת הכספים 1982, התשמ""ג-1982",1982-12-26 00:00:00,88,1,1,4,
148765,10,"חוק התקציב לשנת הכספים 1983, התשמ""ג-1983",1983-06-15 00:00:00,89,5,1,1,"missing magazine, might be more pages"
150912,11,"חוק התקציב (מס' 2) לשנת הכספים 1984, התשמ""ה-1985",1985-03-08 00:00:00,94,6,1,17,
150911,11,"חוק התקציב לשנת הכספים 1985, התשמ""ה-1985",1985-06-16 00:00:00,95,23,1,1,"missing magazine, might be more pages"
151410,11,"חוק התקציב לשנת הכספים 1986, התשמ""ו-1986",1986-06-30 00:00:00,99,9,1,1,"missing magazine, might be more pages"
151471,11,"חוק התקציב (מס' 2), לשנת הכספים 1986, התשמ""ז-1987",1987-04-01 00:00:00,101,246,1,13,
151590,11,"חוק התקציב לשנת הכספים 1987, התשמ""ז-1987",1987-06-30 00:00:00,102,259,1,1,"missing magazine, might be more pages"
151936,11,"חוק התקציב (מס' 2) לשנת הכספים 1987, התשמ""ח-1988",1988-03-24 00:00:00,104,460,1,49,
151909,11,"חוק התקציב לשנת הכספים 1988, התשמ""ח-1988",1988-06-20 00:00:00,105,509,1,1,"page number restarted, might be more pages"
152464,12,"חוק התקציב (מס' 2) לשנת הכספים 1988, התשמ""ט-1989",1989-03-28 00:00:00,106,2,1,6,
152493,12,"חוק התקציב לשנת הכספים 1989 (תיקון), התשמ""ט-1989",1989-04-19 00:00:00,107,8,1,9,
152318,12,"חוק התקציב לשנת הכספים 1989, התשמ""ט-1989",1989-06-01 00:00:00,108,17,1,1,"page number restarted, might be more pages"
152772,12,"חוק התקציב (מס' 2) לשנת הכספים 1989, התש""ן-1990",1990-01-17 00:00:00,109,2,1,9,
152821,12,"חוק התקציב לשנת הכספים 1990, התש""ן-1990",1990-06-01 00:00:00,110,11,1,1,"page number restarted, might be more pages"
153113,12,"חוק התקציב (מס' 2) לשנת הכספים 1990, התש""ן-1990",1990-10-23 00:00:00,111,3,1,1,"missing magazine, might be more pages"
153295,12,"חוק התקציב (מס' 3) לשנת הכספים 1990, התשנ""א-1991",1991-02-21 00:00:00,113,61,1,112,
174407,12,"חוק התקציב לשנת הכספים 1991, התשנ""א-1991",1991-06-02 00:00:00,114,173,1,1,"missing magazine, might be more pages"
153723,12,"חוק התקציב לשנת הכספים 1992, התשנ""ב-1992",1992-04-01 00:00:00,116,5,1,1,"missing magazine, might be more pages"
417273,13,"חוק התקציב לשנת הכספים 1993, התשנ""ג-1992",1993-03-01 00:00:00,118,3,1,1,"missing magazine, might be more pages"
417477,13,"חוק התקציב לשנת הכספים 1994, התשנ""ד-1994",1994-03-24 00:00:00,120,5,1,1,"page number restarted, might be more pages"
156924,13,"חוק התקציב (מס' 2) לשנת הכספים 1994, התשנ""ה-1994",1994-11-25 00:00:00,121,2,1,9,
417476,13,"חוק התקציב לשנת הכספים 1995, התשנ""ה-1994",1995-03-26 00:00:00,122,11,1,1,"missing magazine, might be more pages"
417274,13,"חוק התקציב לשנת הכספים 1996, התשנ""ו-1995",1996-03-29 00:00:00,124,3,1,1,"page number restarted, might be more pages"
162275,14,"חוק התקציב לשנת הכספים 1997, התשנ""ז-1996",1997-03-27 00:00:00,125,3,1,1,"page number restarted, might be more pages"
418026,14,"חוק התקציב לשנת הכספים 1998, התשנ""ח-1998",1997-03-19 00:00:00,126,3,1,1,"missing magazine, might be more pages"
166600,15,חוק תקציב המדינה לשנת הכספים 2000,2000-01-10 00:00:00,129,3,1,1,"last magazine/page, might be more pages"
147941,1,"חוק המעבר, התש""ט-1949",1949-02-17 00:00:00,1,1,,2,
553192,1,"חוק האשראי האמריקאי, התש""ט-1949",1949-03-18 00:00:00,2,3,,2,
148874,1,"חוק התקציב (אפריל 1949), התש""ט-1949",1949-04-05 00:00:00,3,5,,1,
147689,1,"חוק לתיקון פקודת המילווה העממי, התש""ט-1949",1949-04-05 00:00:00,3,6,,1,
149251,1,"חוק להארכת תוקף של תקנות שעת חרום, התש""ט-1949",1949-04-07 00:00:00,4,7,,1,
147943,1,"חוק המעבר (הוראת שעה), התש""ט-1949",1949-04-04 00:00:00,4,8,,0.5,"more then 1 bill in page, split num pages between them"
148269,1,"חוק לתיקון פקודת עובדי ממשלת ארץ-ישראל, התש""ט-1949",1949-04-07 00:00:00,4,8,,0.5,"more then 1 bill in page, split num pages between them"
147690,1,"חוק לתיקון פקודת המילווה העממי (מס' 2), התש""ט-1949",1949-04-13 00:00:00,5,9,,1,
147436,1,"חוק יום העצמאות, התש""ט-1949",1949-04-13 00:00:00,5,10,,1.5,"more then 1 bill in page, split num pages between them"
314532,1,"חוק עובדי ממשלת ארץ-ישראל, התש""ט-1949",1949-04-13 00:00:00,5,10,,1.5,"more then 1 bill in page, split num pages between them"
147380,1,"חוק החיילים המשוחררים (החזרה לעבודה), התש""ט-1949",1949-04-26 00:00:00,6,13,,16,
314534,1,"חוק מס הכנסה ומס רווחי חברות (הוראת שעה), התש""ט-1949",1949-05-08 00:00:00,7,29,,1,
148872,1,"חוק התקציב (אפריל-יוני 1949), התש""ט-1949",1949-05-08 00:00:00,7,30,,3,
147519,1,"חוק מבקר המדינה, התש""ט-1949",1949-05-24 00:00:00,8,33,,4,
147221,1,"חוק הדגל והסמל, התש""ט-1949",1949-05-24 00:00:00,8,37,,2,
147942,1,"חוק לתיקון פקודת המעבר לאסיפה המכוננת, התש""ט-1949",1949-05-27 00:00:00,9,39,,1,
150280,1,"חוק להארכת תוקף של תקנות שעת חירום (סמכויות עריית תל-אביב ביפו), התש""ט-1949",1949-05-27 00:00:00,9,40,,1,
5,1,"חוק שכר חברי הכנסת, התש""ט-1949",1949-06-07 00:00:00,10,41,,2,
148524,1,"חוק לתיקון פקודת הרשויות המקומיות (מס עסקים), התש""ט-1949",1949-06-07 00:00:00,10,43,,1.0,"more then 1 bill in page, split num pages between them"
149022,1,"חוק להארכת תוקף של תקנות שעת חירום (בתי חולים), התש""ט-1949",1949-06-07 00:00:00,10,43,,1.0,"more then 1 bill in page, split num pages between them"
149130,1,"חוק להארכת תוקף של תקנות שעת חרום (עבירות תנועה - דין חיילים), התש""ט-1949",1949-06-09 00:00:00,11,45,,6,
148576,1,"חוק שטרי מקרקעים, התש""ט-1949",1949-06-19 00:00:00,12,51,,2,
148575,1,"חוק שטרי בנק, התש""ט-1949",1949-06-19 00:00:00,12,53,,1,
150169,1,"חוק להארכת תוקף של תקנות שעת חירום (תיקון נזקי מלחמה בבתים),התש""ט-1949",1949-06-19 00:00:00,12,54,,1,
149055,1,"חוק להארכת תוקף של תקנות שעת חירום (חוקת השיפוט תש""ח), התש""ט-1949",1949-06-19 00:00:00,12,55,,1,
149117,1,"חוק להארכת תוקף של תקנות שעת חרום (תפיסת נכסים), התש""ט-1949",1949-06-19 00:00:00,12,56,,1,
148058,1,"חוק לתיקון פקודת הספירטים הממותלים, התש""ט-1949",1949-06-19 00:00:00,12,57,,0.5,"more then 1 bill in page, split num pages between them"
149116,1,"חוק להארכת תוקף של תקנות שעת חרום (נכסי נפקדים), התש""ט-1949",1949-06-19 00:00:00,12,57,,0.5,"more then 1 bill in page, split num pages between them"
147710,1,"חוק המילוות על יבול ההדרים (ערבות), התש""ט-1949",1949-06-19 00:00:00,12,58,,3,
150279,1,"חוק להארכת תוקף של תקנות שעת חירום (סמכויות עריית תל-אביב ביפו) (מס. 2), התש""ט-1949",1949-07-01 00:00:00,13,61,,3,
147323,1,"חוק הגנת החייל (דירה), התש""ט-1949",1949-07-01 00:00:00,13,64,,5,
147080,1,"חוק לתיקון פקודת בריאות העם (תקנות בנדון צרכי מאכל), התש""ט-1949",1949-07-01 00:00:00,13,69,,2,
149115,1,"חוק להארכת תוקף של תקנות שעת חרום (תפיסת נכסים) (מס. 2), התש""ט-1949",1949-07-20 00:00:00,14,71,,1,
147944,1,"חוק המעבר (הוראת שעה) (מס' 2), התש""ט-1949",1949-07-20 00:00:00,14,72,,0.5,"more then 1 bill in page, split num pages between them"
148993,1,"חוק להארכת תוקף של תקנות שעת חירום (אזורי בטחון), התש""ט-1949",1949-07-20 00:00:00,14,72,,0.5,"more then 1 bill in page, split num pages between them"
148875,1,"חוק התקציב (הוראות מעבר), התש""ט-1949 (תקציב לחודש יולי 1949)",1949-07-21 00:00:00,15,73,,56,
148873,1,"חוק התקציב (הוראות מעבר) (מס. 2), התש""ט-1949",1949-08-01 00:00:00,16,129,,2,
147711,1,"חוק המילוות לפרדסנים, התש""ט-1949",1949-08-03 00:00:00,17,131,,2,
149095,1,"חוק לתיקון תקנות ההגנה (כספים), התש""ט-1949",1949-08-03 00:00:00,17,133,,3,
148992,1,"חוק להארכת תוקף של תקנות שעת חירום (אזורי בטחון) (מס. 2),התש""ט-1949",1949-08-03 00:00:00,17,136,,4,
148210,1,"חוק לתיקון פקודת העיריות, התש""ט-1949",1949-08-03 00:00:00,17,140,,3,
147483,1,"חוק כלי הירייה, התש""ט-1949",1949-08-07 00:00:00,18,143,,6,
147320,1,"חוק העלאת עצמותיו של הרצל, התש""ט-1949",1949-08-17 00:00:00,19,149,,1,
148890,1,"חוק תקציבי השירותים הדתיים היהודיים, התש""ט-1949",1949-08-17 00:00:00,19,150,,2,
147835,1,"חוק מס הרכוש העירוני (הוראות שונות), התש""ט-1949",1949-08-17 00:00:00,19,152,,2,
147891,1,"חוק מסי מכס ובלו (שינוי תעריף), התש""ט-1949",1949-08-17 00:00:00,19,154,,1,
147876,1,"חוק לתיקון פקודת מסי העירייה ומסי הממשלה (פטורים), התש""ט-1949",1949-08-17 00:00:00,19,155,,1,
149054,1,"חוק להארכת תוקף של תקנות שעת חירום (חוקת השיפוט תש""ח) (מס. 2), התש""ט-1949",1949-08-17 00:00:00,19,156,,0.5,"more then 1 bill in page, split num pages between them"
157662,1,"חוק להארכת תוקף של תקנות שעת חירום (אכסון במלון), התש""ט-1949",1949-08-17 00:00:00,19,156,,0.5,"more then 1 bill in page, split num pages between them"
148389,1,"חוק לתיקון פקודת המשכנתות על אניות, התש""ט-1949",1949-08-17 00:00:00,19,157,,2,
150182,1,"חוק לביטול פקודת הנהלת הנכסים הרוסיים, התש""ט-1949",1949-09-02 00:00:00,20,159,,0.5,"more then 1 bill in page, split num pages between them"
150270,1,"חוק לתיקון פקודת סדרי השלטון והמשפט, התש""ט-1949",1949-09-02 00:00:00,20,159,,0.5,"more then 1 bill in page, split num pages between them"
147945,1,"חוק המעבר (הוראות שעה) (מס' 2) (תיקון), התש""ט-1949",1949-09-02 00:00:00,20,160,,1,
147748,1,"חוק לתיקון פקודת מס הכנסה, התש""ט-1949",1949-09-04 00:00:00,21,161,,8,
147884,1,"חוק לתיקון פקודת מס רווחי חברות, התש""ט-1949",1949-09-04 00:00:00,21,169,,2,
147915,1,"חוק לתיקון פקודת מס הבולים, התש""ט-1949",1949-09-04 00:00:00,21,171,,3,
147859,1,"חוק מס שבח מקרקעים, התש""ט-1949",1949-09-04 00:00:00,21,174,,13,
147904,1,"חוק מס עזבון, התש""ט-1949",1949-09-07 00:00:00,22,187,,11,
147888,1,"חוק מס קליטה, התש""ט-1949",1949-09-07 00:00:00,22,198,,3,
148871,1,"חוק התקציב לשנת 1949/50, התש""ט-1949",1949-09-09 00:00:00,23,201,,66,
148723,1,"חוק להארכת תוקף של תקנות שעת חירום (מניעת שריפות בשדות), התש""ט-1949",1949-09-12 00:00:00,24,267,,0.5,"more then 1 bill in page, split num pages between them"
149021,1,"חוק להארכת תוקף של תקנות שעת חירום (בתי-חולים) (מס. 2), התש""ט-1949",1949-09-12 00:00:00,24,267,,0.5,"more then 1 bill in page, split num pages between them"
149011,1,"חוק להארכת תוקף של תקנות שעת חירום (אכסון במלון) (מס. 2), התש""ט-1949",1949-09-12 00:00:00,24,268,,1,
149113,1,"חוק להארכת תוקף של תקנות שעת חרום (תפיסת נכסים) (מס. 3), התש""ט-1949",1949-09-12 00:00:00,24,269,,0.5,"more then 1 bill in page, split num pages between them"
314507,1,"חוק להארכת תוקף של תקנות שעת חרום בדבר נכסי נפקדים (מס. 2),התש""ט-1949",1949-09-12 00:00:00,24,269,,0.5,"more then 1 bill in page, split num pages between them"
148339,1,"חוק לתיקון פקודת פרי הדר (פיקוח ושיווק), התש""ט-1949",1949-09-12 00:00:00,24,270,,1,
174479,1,"חוק שירות ביטחון, התש""ט-1949",1949-09-15 00:00:00,25,271,,7,
150200,1,"חוק הנכים (תגמולים ושיקום), התש""ט-1949",1949-09-15 00:00:00,25,278,,9,
314513,1,"חוק לימוד חובה, התש""ט-1949",1949-09-18 00:00:00,26,287,,7,
148762,1,"חוק לתיקון פקודת השחרור בערבות, התש""ט-1949",1949-09-18 00:00:00,26,294,,1,
314474,1,"חוק פגרת הכנסת, התש""ט-1949",1949-09-18 00:00:00,26,295,,1,"page number restarted, might be more pages"
147996,1,"חוק להסדר תפיסת מקרקעים בשעת חירום, התש""י-1949",1949-11-23 00:00:00,27,1,,11,
149112,1,"חוק להארכת תוקף של תקנות שעת חרום בדבר נכסי נפקדים, התש""י-1949",1949-11-23 00:00:00,27,12,,3,
147413,1,"חוק חותם המדינה, התש""י-1949",1949-12-07 00:00:00,28,15,,2,
148704,1,"חוק לתיקון חוקת השיפוט תש""ח, התש""י-1949",1949-12-07 00:00:00,28,17,,8,
146907,1,"חוק אימות מסמכים (תביעות פיצויים מיוחדות), התש""י-1949",1949-12-20 00:00:00,29,25,,2,
146884,1,"פקודת האפוטרופוס הכללי (תיקון), התש""י-1949",1949-12-20 00:00:00,29,27,,4,
149111,1,"חוק להארכת תוקף של תקנות שעת חרום בדבר נכסי נפקדים (מס. 2),התש""י-1949",1949-12-30 00:00:00,30,31,,1,
148722,1,"חוק למניעת שריפות בשדות, התש""י-1949",1949-12-30 00:00:00,30,32,,3,
149020,1,"חוק להארכת תוקף של תקנות שעת חירום (בתי-חולים), התש""י-1949",1949-12-30 00:00:00,30,35,,1,
149129,1,"חוק להארכת תוקף של תקנות שעת חרום (עבירות תנועה - דין חיילים),התש""י-1949",1949-12-30 00:00:00,30,36,,4,
149010,1,"חוק להארכת תוקף של תקנות שעת חירום (אכסון במלון), התש""י-1949",1949-12-03 00:00:00,30,40,,1,
148209,1,"חוק לתיקון פקודת העיריות, התש""י-1950",1950-01-26 00:00:00,31,41,,24,
148406,1,"חוק קרן פקדון וקרן הוזלה (תוספת יוקר), התש""י-1950",1950-01-30 00:00:00,32,65,,8,
149918,1,"חוק הטיס (תיקון), התש""י-1950",1950-02-06 00:00:00,33,73,,4,
148605,1,"חוק שירות ביטחון (תיקון), התש""י-1950",1950-02-13 00:00:00,34,77,,4,
149053,1,"חוק להארכת תוקף של תקנות שעת חירום (חוקת השיפוט תש""ח), התש""י-1950",1950-02-26 00:00:00,35,81,,2,
149109,1,"חוק להארכת תוקף של תקנות שעת חרום בדבר נכסי נפקדים (מס. 3),התש""י-1950",1950-03-02 00:00:00,36,83,,1,
149019,1,"חוק להארכת תוקף של תקנות שעת חירום (בתי-חולים) (מס. 2), התש""י-1950",1950-03-02 00:00:00,36,84,,1,
148205,1,"חוק רשימות השומה העירוניות (הוראות זמניות), התש""י-1950",1950-03-20 00:00:00,37,85,,1,
150181,1,"חוק נכסי נפקדים, התש""י-1950",1950-03-20 00:00:00,37,86,,16,
147414,1,"חוק בדבר חידוש מסמכים של איגוד, התש""י-1950",1950-03-20 00:00:00,37,102,,3,
